Auction Values for Cirrus10
Overall,BYE,,,,QB,BYE,,,,RB,BYE,,,,WR,BYE,,,,TE,BYE,,,,DST,BYE,,,,K,BYE,,,,
Dalvin Cook (RB - MIN),9,$16, ,,Deshaun Watson - HOU,7,$0, ,,Mike Gillislee - NE,9,$4, ,,Pierre Garcon - SF,11,$2, ,,Vance McDonald - SF,11,$0, ,,Cleveland Browns,9,$0, ,,,,,,,
Marshawn Lynch (RB - OAK),10,$16, ,,,,,,,Eddie Lacy - SEA,6,$4, ,,Brandon Marshall - NYG,8,$1, ,,Vernon Davis - WAS,5,$0, ,,,,,,,,,,,,
Christian McCaffrey (RB - CAR),11,$16, ,,,,,,,Robert Kelley - WAS,5,$4, ,,Martavis Bryant - PIT,9,$1, ,,Dwayne Allen - NE,9,$0, ,,,,,,,,,,,,
Matt Ryan (QB - ATL),5,$15, ,,,,,,,Matt Forte - NYJ,11,$4, ,,Devante Parker - MIA,11,$1, ,,Benjamin Watson - BAL,10,$0, ,,,,,,,,,,,,
Ty Montgomery (RB - GB),8,$15, ,,,,,,,Doug Martin - TB,11,$3, ,,Jeremy Maclin - BAL,10,$0, ,,Ryan Griffin - HOU,7,$0, ,,,,,,,,,,,,
Mark Ingram (RB - NO),5,$15, ,,,,,,,Darren Sproles - PHI,10,$2, ,,Mike Wallace - BAL,10,$0, ,,,,,,,,,,,,,,,,,
DeAndre Hopkins (WR - HOU),7,$15, ,,,,,,,Jonathan Stewart - CAR,11,$2, ,,Kenny Britt - CLE,9,$0, ,,,,,,,,,,,,,,,,,
Bilal Powell (RB - NYJ),11,$14, ,,,,,,,Adrian Peterson - NO,5,$2, ,,Donte Moncrief - IND,11,$0, ,,,,,,,,,,,,,,,,,
Spencer Ware (RB - KC),10,$14, ,,,,,,,James White - NE,9,$1, ,,Cameron Meredith - CHI,9,$0, ,,,,,,,,,,,,,,,,,
Michael Crabtree (WR - OAK),10,$14, ,,,,,,,Derrick Henry - TEN,8,$1, ,,Eric Decker - TEN,8,$0, ,,,,,,,,,,,,,,,,,
Allen Robinson (WR - JAC),8,$14, ,,,,,,,Kareem Hunt - KC,10,$1, ,,Jordan Matthews - BUF,6,$0, ,,,,,,,,,,,,,,,,,
Demaryius Thomas (WR - DEN),5,$13, ,,,,,,,LeGarrette Blount - PHI,10,$0, ,,DeSean Jackson - TB,11,$0, ,,,,,,,,,,,,,,,,,
Jimmy Graham (TE - SEA),6,$13, ,,,,,,,Giovani Bernard - CIN,6,$0, ,,Adam Thielen - MIN,9,$0, ,,,,,,,,,,,,,,,,,
Brandin Cooks (WR - NE),9,$12, ,,,,,,,Chris Thompson - WAS,5,$0, ,,Tyrell Williams - LAC,9,$0, ,,,,,,,,,,,,,,,,,
Kyle Rudolph (TE - MIN),9,$12, ,,,,,,,C.J. Prosise - SEA,6,$0, ,,Rishard Matthews - TEN,8,$0, ,,,,,,,,,,,,,,,,,
Russell Wilson (QB - SEA),6,$11, ,,,,,,,Darren McFadden - DAL,6,$0, ,,Corey Coleman - CLE,9,$0, ,,,,,,,,,,,,,,,,,
Joe Mixon (RB - CIN),6,$11, ,,,,,,,Jamaal Charles - DEN,5,$0, ,,Marvin Jones - DET,7,$0, ,,,,,,,,,,,,,,,,,
Larry Fitzgerald (WR - ARI),8,$11, ,,,,,,,Shane Vereen - NYG,8,$0, ,,John Brown - ARI,8,$0, ,,,,,,,,,,,,,,,,,
Golden Tate (WR - DET),7,$11, ,,,,,,,Thomas Rawls - SEA,6,$0, ,,Robby Anderson - NYJ,11,$0, ,,,,,,,,,,,,,,,,,
Tevin Coleman (RB - ATL),5,$9, ,,,,,,,Charles Sims - TB,11,$0, ,,Cole Beasley - DAL,6,$0, ,,,,,,,,,,,,,,,,,
Carlos Hyde (RB - SF),11,$9, ,,,,,,,Rex Burkhead - NE,9,$0, ,,Ted Ginn - NO,5,$0, ,,,,,,,,,,,,,,,,,
Frank Gore (RB - IND),11,$9, ,,,,,,,Jamaal Williams - GB,8,$0, ,,Corey Davis - TEN,8,$0, ,,,,,,,,,,,,,,,,,
Ameer Abdullah (RB - DET),7,$9, ,,,,,,,Jeremy Hill - CIN,6,$0, ,,Sterling Shepard - NYG,8,$0, ,,,,,,,,,,,,,,,,,
Alshon Jeffery (WR - PHI),10,$9, ,,,,,,,Robert Turbin - IND,11,$0, ,,Mohamed Sanu - ATL,5,$0, ,,,,,,,,,,,,,,,,,
Zach Ertz (TE - PHI),10,$9, ,,,,,,,Samaje Perine - WAS,5,$0, ,,Allen Hurns - JAC,8,$0, ,,,,,,,,,,,,,,,,,
Terrance West (RB - BAL),10,$8, ,,,,,,,Jacquizz Rodgers - TB,11,$0, ,,Tyler Lockett - SEA,6,$0, ,,,,,,,,,,,,,,,,,
Danny Woodhead (RB - BAL),10,$8, ,,,,,,,Latavius Murray - MIN,9,$0, ,,Kenny Stills - MIA,11,$0, ,,,,,,,,,,,,,,,,,
Jarvis Landry (WR - MIA),11,$8, ,,,,,,,DeAndre Washington - OAK,10,$0, ,,Breshad Perriman - BAL,10,$0, ,,,,,,,,,,,,,,,,,
Cam Newton (QB - CAR),11,$7, ,,,,,,,Dion Lewis - NE,9,$0, ,,Torrey Smith - PHI,10,$0, ,,,,,,,,,,,,,,,,,
Paul Perkins (RB - NYG),8,$7, ,,,,,,,T.J. Yeldon - JAC,8,$0, ,,Taylor Gabriel - ATL,5,$0, ,,,,,,,,,,,,,,,,,
Emmanuel Sanders (WR - DEN),5,$7, ,,,,,,,Jalen Richard - OAK,10,$0, ,,Devin Funchess - CAR,11,$0, ,,,,,,,,,,,,,,,,,
Stefon Diggs (WR - MIN),9,$7, ,,,,,,,Alvin Kamara - NO,5,$0, ,,Zay Jones - BUF,6,$0, ,,,,,,,,,,,,,,,,,
Tyler Eifert (TE - CIN),6,$7, ,,,,,,,Tim Hightower - SF,11,$0, ,,Marqise Lee - JAC,8,$0, ,,,,,,,,,,,,,,,,,
C.J. Anderson (RB - DEN),5,$6, ,,,,,,,Jerick McKinnon - MIN,9,$0, ,,Kenny Golladay - DET,7,$0, ,,,,,,,,,,,,,,,,,
Davante Adams (WR - GB),8,$6, ,,,,,,,Jonathan Williams - BUF,6,$0, ,,Kevin White - CHI,9,$0, ,,,,,,,,,,,,,,,,,
Kelvin Benjamin (WR - CAR),11,$6, ,,,,,,,D'Onta Foreman - HOU,7,$0, ,,Josh Doctson - WAS,5,$0, ,,,,,,,,,,,,,,,,,
Terrelle Pryor (WR - WAS),5,$6, ,,,,,,,Marlon Mack - IND,11,$0, ,,Chris Conley - KC,10,$0, ,,,,,,,,,,,,,,,,,
Delanie Walker (TE - TEN),8,$6, ,,,,,,,Joe Williams - SF,11,$0, ,,Terrance Williams - DAL,6,$0, ,,,,,,,,,,,,,,,,,
Martellus Bennett (TE - GB),8,$6, ,,,,,,,Damien Williams - MIA,11,$0, ,,Brandon LaFell - CIN,6,$0, ,,,,,,,,,,,,,,,,,
Theo Riddick (RB - DET),7,$5, ,,,,,,,Devontae Booker - DEN,5,$0, ,,J.J. Nelson - ARI,8,$0, ,,,,,,,,,,,,,,,,,
Tyreek Hill (WR - KC),10,$5, ,,,,,,,Tarik Cohen - CHI,9,$0, ,,ArDarius Stewart - NYJ,11,$0, ,,,,,,,,,,,,,,,,,
Keenan Allen (WR - LAC),9,$5, ,,,,,,,Marcel Reece - SEA,6,$0, ,,Tavon Austin - LAR,8,$0, ,,,,,,,,,,,,,,,,,
Eric Ebron (TE - DET),7,$5, ,,,,,,,Wendell Smallwood - PHI,10,$0, ,,Robert Woods - LAR,8,$0, ,,,,,,,,,,,,,,,,,
Andrew Luck (QB - IND),11,$4, ,,,,,,,Kyle Juszczyk - SF,11,$0, ,,Marquise Goodwin - SF,11,$0, ,,,,,,,,,,,,,,,,,
Jameis Winston (QB - TB),11,$4, ,,,,,,,James Conner - PIT,9,$0, ,,Nelson Agholor - PHI,10,$0, ,,,,,,,,,,,,,,,,,
Duke Johnson (RB - CLE),9,$4, ,,,,,,,Donnel Pumphrey - PHI,10,$0, ,,John Ross - CIN,6,$0, ,,,,,,,,,,,,,,,,,
Mike Gillislee (RB - NE),9,$4, ,,,,,,,Alfred Morris - DAL,6,$0, ,,Chris Hogan - NE,9,$0, ,,,,,,,,,,,,,,,,,
Eddie Lacy (RB - SEA),6,$4, ,,,,,,,Zach Zenner - DET,7,$0, ,,Curtis Samuel - CAR,11,$0, ,,,,,,,,,,,,,,,,,
Robert Kelley (RB - WAS),5,$4, ,,,,,,,Branden Oliver - LAC,9,$0, ,,Seth Roberts - OAK,10,$0, ,,,,,,,,,,,,,,,,,
Matt Forte (RB - NYJ),11,$4, ,,,,,,,Chris Johnson - ARI,8,$0, ,,Tyler Boyd - CIN,6,$0, ,,,,,,,,,,,,,,,,,
Willie Snead (WR - NO),5,$4, ,,,,,,,Lance Dunbar - LAR,8,$0, ,,Kendall Wright - CHI,9,$0, ,,,,,,,,,,,,,,,,,
Sammy Watkins (WR - LAR),8,$4, ,,,,,,,Elijah McGuire - NYJ,11,$0, ,,Jeremy Kerley - SF,11,$0, ,,,,,,,,,,,,,,,,,
Marcus Mariota (QB - TEN),8,$3, ,,,,,,,Andre Ellington - ARI,8,$0, ,,Cooper Kupp - LAR,8,$0, ,,,,,,,,,,,,,,,,,
Doug Martin (RB - TB),11,$3, ,,,,,,,Orleans Darkwa - NYG,8,$0, ,,Laquon Treadwell - MIN,9,$0, ,,,,,,,,,,,,,,,,,
Jamison Crowder (WR - WAS),5,$3, ,,,,,,,Chris Ivory - JAC,8,$0, ,,Eli Rogers - PIT,9,$0, ,,,,,,,,,,,,,,,,,
Randall Cobb (WR - GB),8,$3, ,,,,,,,Kenyan Drake - MIA,11,$0, ,,Travis Benjamin - LAC,9,$0, ,,,,,,,,,,,,,,,,,
Dak Prescott (QB - DAL),6,$2, ,,,,,,,Alfred Blue - HOU,7,$0, ,,Adam Humphries - TB,11,$0, ,,,,,,,,,,,,,,,,,
Kirk Cousins (QB - WAS),5,$2, ,,,,,,,Mike Tolbert - BUF,6,$0, ,,Albert Wilson - KC,10,$0, ,,,,,,,,,,,,,,,,,
Darren Sproles (RB - PHI),10,$2, ,,,,,,,Ryan Mathews - ,,$0, ,,Jermaine Kearse - SEA,6,$0, ,,,,,,,,,,,,,,,,,
Jonathan Stewart (RB - CAR),11,$2, ,,,,,,,Jeremy Langford - CHI,9,$0, ,,Charone Peake - NYJ,11,$0, ,,,,,,,,,,,,,,,,,
Adrian Peterson (RB - NO),5,$2, ,,,,,,,Wayne Gallman - NYG,8,$0, ,,Phillip Dorsett - IND,11,$0, ,,,,,,,,,,,,,,,,,
Pierre Garcon (WR - SF),11,$2, ,,,,,,,Aaron Ripkowski - GB,8,$0, ,,Will Fuller - HOU,7,$0, ,,,,,,,,,,,,,,,,,
Hunter Henry (TE - LAC),9,$2, ,,,,,,,Elijah Hood - OAK,10,$0, ,,Markus Wheaton - CHI,9,$0, ,,,,,,,,,,,,,,,,,
Denver Broncos (DST - DEN),5,$2, ,,,,,,,John Kuhn - NO,5,$0, ,,Chris Godwin - TB,11,$0, ,,,,,,,,,,,,,,,,,
Arizona Cardinals (DST - ARI),8,$2, ,,,,,,,Aaron Jones - GB,8,$0, ,,Braxton Miller - HOU,7,$0, ,,,,,,,,,,,,,,,,,
Matthew Stafford (QB - DET),7,$1, ,,,,,,,,,,,,Carlos Henderson - DEN,5,$0, ,,,,,,,,,,,,,,,,,
James White (RB - NE),9,$1, ,,,,,,,,,,,,Jaron Brown - ARI,8,$0, ,,,,,,,,,,,,,,,,,
Derrick Henry (RB - TEN),8,$1, ,,,,,,,,,,,,Brandon Coleman - NO,5,$0, ,,,,,,,,,,,,,,,,,
Kareem Hunt (RB - KC),10,$1, ,,,,,,,,,,,,Jaelen Strong - HOU,7,$0, ,,,,,,,,,,,,,,,,,
Brandon Marshall (WR - NYG),8,$1, ,,,,,,,,,,,,Mike Williams - LAC,9,$0, ,,,,,,,,,,,,,,,,,
Martavis Bryant (WR - PIT),9,$1, ,,,,,,,,,,,,Paul Richardson - SEA,6,$0, ,,,,,,,,,,,,,,,,,
Devante Parker (WR - MIA),11,$1, ,,,,,,,,,,,,Malcolm Mitchell - NE,9,$0, ,,,,,,,,,,,,,,,,,
Jack Doyle (TE - IND),11,$1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle Seahawks (DST - SEA),6,$1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
